City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
293,Karasjok,NO,69.4719,25.5112,32.11,93,54,4.38,broken clouds
294,Klyuchi,RU,52.2667,79.1667,35.76,54,100,11.74,overcast clouds
295,Ambilobe,MG,-13.2,49.05,74.23,88,32,4.88,scattered clouds
296,Sombrio,BR,-29.1139,-49.6167,63.93,82,100,4.56,overcast clouds
297,Dibulla,CO,11.2725,-73.3091,77.59,72,7,6.11,clear sky
298,Port Hawkesbury,CA,45.6169,-61.3485,43.18,95,90,5.01,moderate rain
299,Kudahuvadhoo,MV,2.6708,72.8944,82.36,76,47,21.39,scattered clouds
300,Vestmanna,FO,62.1564,-7.1664,40.12,75,75,18.41,broken clouds
301,Patea,NZ,-39.7583,174.4833,71.67,56,65,3.53,broken clouds
302,Sao Joao Da Barra,BR,-21.6403,-41.0511,70.07,89,100,12.62,overcast clouds
303,Luena,AO,-11.7833,19.9167,62.87,95,100,4.83,overcast clouds
304,Kruisfontein,ZA,-34.0033,24.7314,56.21,81,27,7.25,scattered clouds
305,Bathsheba,BB,13.2167,-59.5167,81.21,74,40,14.97,scattered clouds
306,Balabac,PH,7.9868,117.0645,84.87,73,100,13.13,overcast clouds
307,Rio Gallegos,AR,-51.6226,-69.2181,55.45,33,0,13.8,clear sky
308,Teguldet,RU,57.3064,88.1667,32.65,96,100,12.28,light snow
309,Olot,ES,42.181,2.4901,56.3,93,100,4.0,overcast clouds
310,Turukhansk,RU,65.8167,87.9833,-3.35,94,87,8.25,overcast clouds
311,San Andres,CO,12.5847,-81.7006,82.42,78,40,6.91,scattered clouds
312,The Valley,AI,18.217,-63.0578,81.1,70,10,14.36,clear sky
313,Houma,US,29.5958,-90.7195,69.8,82,1,5.75,clear sky
314,Sambava,MG,-14.2667,50.1667,74.66,87,47,1.12,scattered clouds
315,Tyrma,RU,50.0833,132.1667,28.0,94,100,3.51,light snow
316,Marrakesh,MA,31.6315,-8.0083,55.47,54,0,3.44,clear sky
317,Batemans Bay,AU,-35.7167,150.1833,78.19,73,100,1.83,overcast clouds
318,Gewane,ET,10.1664,40.6453,77.83,35,94,1.57,overcast clouds
319,Dezful,IR,32.3811,48.4058,67.1,30,100,4.21,overcast clouds
320,Ciudad Bolivar,VE,8.1222,-63.5497,81.28,64,100,10.47,overcast clouds
321,Avera,US,33.194,-82.5271,64.53,49,9,6.06,clear sky
322,Santa Maria,BR,-29.6842,-53.8069,67.3,56,0,12.66,clear sky
323,Camalu,MX,30.85,-116.0667,71.42,79,0,7.05,clear sky
324,Tessalit,ML,20.1986,1.0114,65.43,15,21,9.4,few clouds
325,Killybegs,IE,54.6333,-8.45,47.44,87,100,7.11,overcast clouds
326,Gemena,CD,3.25,19.7667,70.74,95,100,0.43,overcast clouds
327,Kokopo,PG,-4.352,152.2633,85.95,63,53,4.43,broken clouds
328,Iqaluit,CA,63.7506,-68.5145,8.33,65,40,10.0,scattered clouds
329,Ishigaki,JP,24.3448,124.1572,69.93,52,20,6.91,few clouds
330,Saint-Michel-Des-Saints,CA,46.6834,-73.9159,36.59,79,17,5.12,few clouds
331,Abapo,BO,-18.8333,-63.4667,66.49,97,95,2.06,overcast clouds
332,Teya,RU,60.3778,92.6267,29.1,96,100,5.77,snow
333,Akonolinga,CM,3.7667,12.25,67.87,100,100,0.85,light rain
334,Cedar City,US,37.6775,-113.0619,54.57,37,1,5.75,clear sky
335,Uyuni,BO,-20.4597,-66.825,50.14,13,97,7.38,overcast clouds
336,Udachnyy,RU,66.4167,112.4,9.39,96,100,4.36,light snow
337,Iquique,CL,-20.2208,-70.1431,62.64,75,69,3.2,broken clouds
338,Waingapu,ID,-9.6567,120.2641,84.88,67,100,2.3,overcast clouds
339,Forbes,AU,-33.3833,148.0167,72.91,51,100,6.42,overcast clouds
340,Pangody,RU,65.85,74.4859,7.27,97,93,6.98,overcast clouds
341,Benguela,AO,-12.5763,13.4055,75.34,88,96,3.96,overcast clouds
342,San Carlos,VE,9.6612,-68.5827,75.34,60,77,4.92,broken clouds
343,Srednekolymsk,RU,67.45,153.6833,-7.71,87,100,4.32,overcast clouds
